item_id,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
,2017-01,7507006.678566667,13688.599999999999,1033.0,172.16666666666666,869.123595505618,2.6249814699900016,22.56101107893277,1.5930467811485347,0.0,13.251306873184896,104.99925879960009,24639.480000000003,1.0,13688.599999999999,1.0,2737.7199999999993,1.0
,2017-02,7489530.002816667,13588.449999999999,830.0,138.33333333333334,864.3631284916202,2.620127573718715,23.76128538723317,1.6911502107698,0.0,16.371626506024096,104.80510294874861,24459.21,1.0,13588.449999999999,1.0,2717.6899999999996,1.0
,2017-03,7852081.288766667,14333.62,639.0,106.5,860.6388888888889,2.775771229383856,28.128909225214567,1.7759663976175162,0.0,22.43133020344288,111.03084917535423,25800.516,1.0,14333.62,1.0,2866.7239999999997,1.0
,2017-04,8095262.9037833335,14795.09,464.0,77.33333333333333,856.6685082872929,2.8784159911086458,35.22803254664922,1.8425463579674728,0.0,31.88596982758621,115.13663964434583,26631.162,1.0,14795.09,1.0,2959.0179999999996,1.0
,2017-05,7710916.91125,14203.23,415.0,69.16666666666667,852.4120879120879,2.7770664371950313,35.35621538287777,1.8444922749726231,0.0,34.22465060240964,111.08265748780126,25565.814000000002,1.0,14203.23,1.0,2840.6459999999997,1.0
,2017-06,4530374.132066667,11593.9,538.0,89.66666666666667,847.8907103825137,2.278969026320538,28.008867965037393,1.8050476253899974,0.0,21.55,91.15876105282153,20869.020000000004,1.0,11593.9,1.0,2318.7799999999993,1.0
,2017-07,2580899.1044833334,8721.71,809.0,134.83333333333334,843.3097826086956,1.7237062385742854,19.403166881398814,1.6409942771570234,0.0,10.780852904820765,68.94824954297144,15699.078000000001,1.0,8721.71,1.0,1744.3419999999999,1.0
,2017-01,4980129.5867,11734.26,1995.0,332.5,2205.5898876404494,0.8867060966135585,6.964952638176935,1.3774468673166504,0.0,5.881834586466166,35.468243864542345,21121.667999999998,1.0,11734.26,1.0,2346.8519999999994,1.0
,2017-02,5458481.1151,12518.640000000001,2045.0,340.8333333333333,2263.8603351955308,0.921629292921815,7.24753805222272,1.3881842372819213,0.0,6.12158435207824,36.8651717168726,22533.552000000003,1.0,12518.640000000001,1.0,2503.7279999999996,1.0
,2017-03,4891503.101049999,11105.369999999999,2056.0,342.6666666666667,2307.95,0.8019649472475573,6.197727866018018,1.2889889093903346,0.0,5.401444552529182,32.0785978899023,19989.666,1.0,11105.369999999999,1.0,2221.0739999999996,1.0
,2017-04,2749432.2998499996,8495.73,1947.0,324.5,2341.292817679558,0.6047748446105706,5.103389778022767,1.2534571470498006,0.0,4.3634976887519255,24.19099378442283,15292.314,1.0,8495.73,1.0,1699.1459999999995,1.0
,2017-05,1579508.2300000002,6091.62,1857.0,309.5,2354.7582417582416,0.43115678798598117,3.7967537411314063,1.1099590614737889,0.0,3.2803554119547655,17.246271519439244,10964.916,1.0,6091.62,1.0,1218.3239999999996,1.0
,2017-06,1234822.8187499999,5276.07,1694.0,282.3333333333333,2349.6284153005463,0.37424853831090604,3.665371668875101,1.0890816880222214,0.0,3.1145631641086187,14.969941532436241,9496.926,1.0,5276.07,1.0,1055.2139999999997,1.0
,2017-07,1848980.9085000001,6934.5,1575.0,262.5,2339.9021739130435,0.4939309056956116,4.420178702995837,1.2551429420578155,0.0,4.402857142857143,19.757236227824464,12482.1,1.0,6934.5,1.0,1386.8999999999996,1.0
